id,fullName,country,fieldOfStudy,totalPublications
c768d660-53c4-4661-a475-8582607b70e3,S. Ben Jabra,Tunisia,Computer Vision,115
1bf09ef4-0328-45b9-b915-0ba88d38c191,Ezzeddine Zagrouba,Tunisia,Artificial Intelligence,52
a0443ccb-e562-4210-ac4a-97261a8ad703,Joaquín J. Torres,Spain,Computational Neuroscience,115
ef14abb9-6dcb-415b-875f-c986ab1bfa80,Jesús M. Cortés,Spain,Neural Networks,143
a91d89e8-dccd-4752-9ef1-19ac7c65135b,Joaquín Marro,Spain,Statistical Physics,193
5d0ebc4c-d931-4772-9a2f-2cf7816448ea,Hilbert J. Kappen,Netherlands,Machine Learning,142
b310c85e-644c-420e-a2ff-46af58d86b89,Geneviève Paquin,France,Bioinformatics,173
38aa38a8-a906-423f-9667-ff8a3e29f576,Laurent Vuillon,France,Mathematical Modeling,183
0208d74f-2167-46aa-ad3a-e3504ee72d5b,Yaser Sheikh,Pakistan,Computer Vision,136
798b30f9-eedf-408b-bcc9-86d8f48f53d7,Mumtaz Sheikh,UAE,Data Science,187
ad277471-59d7-469a-8b07-fac79835aec2,Mubarak Shah,USA,Computer Vision,49
